race,t_pre,t_2026,delta,had_sc,n_sc_laps
304,5415.87164075312,5413.87164075312,2.0,True,8
305,5214.276212673931,5212.67621267393,1.6000000000003638,True,4
306,5021.85245306389,5021.85245306389,0.0,False,0
307,5781.497723571344,5779.8977235713455,1.5999999999985448,True,15
308,5259.343919474903,5257.343919474903,2.0,True,5
309,5021.85245306389,5021.85245306389,0.0,False,0
310,5058.353457947941,5057.953457947941,0.3999999999996362,True,1
311,5021.85245306389,5021.85245306389,0.0,False,0
312,5021.85245306389,5021.85245306389,0.0,False,0
313,5639.936431346049,5636.73643134605,3.1999999999989086,True,12
314,5823.657436627709,5821.65743662771,1.9999999999990905,True,16
315,5074.314077308236,5073.914077308235,0.4000000000005457,True,1
316,5551.140584224586,5548.740584224588,2.399999999997817,True,10
317,5021.85245306389,5021.85245306389,0.0,False,0
318,5071.904293871035,5071.504293871035,0.4000000000005457,True,1
319,5212.3009351515475,5210.700935151547,1.6000000000003638,True,4
320,5021.85245306389,5021.85245306389,0.0,False,0
321,5577.721861832445,5576.121861832445,1.6000000000003638,True,11
322,5070.899928909362,5070.499928909361,0.4000000000005457,True,1
323,5021.85245306389,5021.85245306389,0.0,False,0
324,5228.104391103001,5226.504391103001,1.6000000000003638,True,4
325,5773.026223026871,5771.4262230268705,1.6000000000003638,True,14
326,5419.34418954381,5416.144189543809,3.2000000000007276,True,8
327,5021.85245306389,5021.85245306389,0.0,False,0
328,5074.71574182575,5074.315741825751,0.3999999999996362,True,1
329,5607.585945756759,5605.985945756759,1.6000000000003638,True,11
330,5021.85245306389,5021.85245306389,0.0,False,0
331,5170.148914406016,5168.948914406016,1.199999999999818,True,3
332,5179.046704397849,5177.84670439785,1.1999999999989086,True,3
333,6055.558238154777,6052.758238154776,2.8000000000010914,True,20
334,6201.648835033847,6199.648835033847,2.0,True,23
335,5021.85245306389,5021.85245306389,0.0,False,0
336,5130.728806261368,5130.728806261368,0.0,True,2
337,5236.941010488323,5235.341010488323,1.5999999999994543,True,4
338,5065.622282822997,5065.222282822997,0.3999999999996362,True,1
339,5172.519655988236,5171.319655988237,1.1999999999989086,True,3
340,5021.85245306389,5021.85245306389,0.0,False,0
341,5021.85245306389,5021.85245306389,0.0,False,0
342,5058.608667626313,5058.208667626313,0.3999999999996362,True,1
343,5112.9923343379305,5112.19233433793,0.8000000000001819,True,2
344,5489.116737909541,5487.116737909541,2.0,True,9
345,5181.35627537356,5180.156275373557,1.2000000000025466,True,3
346,5129.724644967582,5128.924644967582,0.8000000000001819,True,2
347,5021.85245306389,5021.85245306389,0.0,False,0
348,5021.85245306389,5021.85245306389,0.0,False,0
349,5021.85245306389,5021.85245306389,0.0,False,0
350,5109.487391323852,5108.6873913238505,0.8000000000010914,True,2
351,5076.322399895808,5076.322399895808,0.0,True,1
352,5453.422907556098,5452.222907556099,1.1999999999989086,True,8
353,5212.452328607342,5210.852328607341,1.6000000000003638,True,4
354,5021.85245306389,5021.85245306389,0.0,False,0
355,5109.042240163886,5108.242240163887,0.7999999999992724,True,2
356,5021.85245306389,5021.85245306389,0.0,False,0
357,5129.322980450067,5128.522980450067,0.8000000000001819,True,2
358,5021.85245306389,5021.85245306389,0.0,False,0
359,5292.0605406192135,5290.860540619214,1.199999999999818,True,5
360,5617.647174286076,5616.0471742860755,1.6000000000003638,True,12
361,5332.656607653218,5331.056607653218,1.6000000000003638,True,6
362,5610.899678026256,5609.299678026256,1.6000000000003638,True,11
363,5177.54046245717,5176.340462457169,1.2000000000007276,True,3
364,5021.85245306389,5021.85245306389,0.0,False,0
365,5021.85245306389,5021.85245306389,0.0,False,0
366,5401.104818188131,5400.704818188131,0.3999999999996362,True,7
367,5418.30912234795,5416.709122347949,1.6000000000003638,True,8
368,5021.85245306389,5021.85245306389,0.0,False,0
369,5021.85245306389,5021.85245306389,0.0,False,0
370,5494.430849967296,5492.830849967298,1.5999999999985448,True,9
371,5328.166916494364,5326.566916494366,1.5999999999985448,True,6
372,5021.85245306389,5021.85245306389,0.0,False,0
373,5073.912412790722,5073.512412790721,0.4000000000005457,True,1
374,5021.85245306389,5021.85245306389,0.0,False,0
375,5021.85245306389,5021.85245306389,0.0,False,0
376,5021.85245306389,5021.85245306389,0.0,False,0
377,5021.85245306389,5021.85245306389,0.0,False,0
