race,t_adaptive,t_fixed
710,5278.912685740667,5280.512685740668
711,5178.449201174121,5179.649201174122
712,5125.711328827464,5126.511328827464
713,5021.85245306389,5021.85245306389
714,5021.85245306389,5021.85245306389
715,5057.953457947941,5072.719999957705
716,5468.544548756887,5482.500017664501
717,5617.67119399011,5620.071193990109
718,5021.85245306389,5021.85245306389
719,5265.2815089725245,5266.881508972525
720,5074.616990213886,5075.016990213887
721,5021.85245306389,5021.85245306389
722,5165.839737661409,5177.077627333143
723,5124.104670757406,5124.904670757406
724,5108.6873913238505,5123.169883941693
725,5673.303872905822,5690.675502002797
726,5072.709083755692,5073.109083755692
727,5021.85245306389,5021.85245306389
728,5021.85245306389,5021.85245306389
729,5398.49899237683,5399.698992376829
730,5021.85245306389,5021.85245306389
731,5210.7579959075765,5223.218327697701
732,5021.85245306389,5021.85245306389
733,5185.071672160569,5185.071672160569
734,5021.85245306389,5021.85245306389
735,5021.85245306389,5021.85245306389
736,5185.071672160569,5185.071672160569
737,5159.009392032764,5174.4070985683975
738,5239.35099759341,5239.35099759341
739,5021.85245306389,5021.85245306389
740,5021.85245306389,5021.85245306389
741,5209.513361486706,5225.2266502852735
742,5021.85245306389,5021.85245306389
743,5021.85245306389,5021.85245306389
744,5182.666678608025,5183.866678608026
745,5130.728806261368,5130.728806261368
746,5021.85245306389,5021.85245306389
747,5021.85245306389,5021.85245306389
748,5401.8077310937815,5401.8077310937815
749,5185.071672160569,5185.071672160569
750,5021.85245306389,5021.85245306389
751,5180.557939891075,5181.757939891074
752,5021.85245306389,5021.85245306389
753,5072.709083755692,5073.109083755692
754,5075.520735378294,5075.920735378294
755,5021.85245306389,5021.85245306389
756,5313.97440682318,5315.574406823181
757,5021.85245306389,5021.85245306389
758,6383.352173908974,6386.552173908973
759,5284.937653503386,5286.537653503387
760,5021.85245306389,5021.85245306389
761,5311.688498819154,5313.2884988191545
762,5021.85245306389,5021.85245306389
763,5978.944862712591,5981.744862712592
764,5021.85245306389,5021.85245306389
765,5231.023116925039,5232.62311692504
766,5821.068616829477,5822.6686168294755
767,5021.85245306389,5021.85245306389
768,5362.576469880784,5364.176469880785
